"name","trends_data"
"Leonardo DiCaprio","[{""x"": 2004, ""y"": 5.5}, {""x"": 2005, ""y"": 5.833333333333333}, {""x"": 2006, ""y"": 4.5}, {""x"": 2007, ""y"": 5.75}, {""x"": 2008, ""y"": 4.75}, {""x"": 2009, ""y"": 6.416666666666667}, {""x"": 2010, ""y"": 11.5}, {""x"": 2011, ""y"": 11.0}, {""x"": 2012, ""y"": 11.416666666666666}, {""x"": 2013, ""y"": 17.166666666666668}, {""x"": 2014, ""y"": 22.833333333333332}, {""x"": 2015, ""y"": 18.083333333333332}, {""x"": 2016, ""y"": 31.75}, {""x"": 2017, ""y"": 13.916666666666666}, {""x"": 2018, ""y"": 12.5}, {""x"": 2019, ""y"": 14.25}, {""x"": 2020, ""y"": 17.166666666666668}, {""x"": 2021, ""y"": 15.5}, {""x"": 2022, ""y"": 16.166666666666668}, {""x"": 2023, ""y"": 15.25}, {""x"": 2024, ""y"": 12.916666666666666}, {""x"": 2025, ""y"": 9.75}]"
"Michelle Obama","[{""x"": 2004, ""y"": 0.25}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.16666666666666666}, {""x"": 2007, ""y"": 1.1666666666666667}, {""x"": 2008, ""y"": 23.166666666666668}, {""x"": 2009, ""y"": 35.416666666666664}, {""x"": 2010, ""y"": 12.916666666666666}, {""x"": 2011, ""y"": 13.0}, {""x"": 2012, ""y"": 19.666666666666668}, {""x"": 2013, ""y"": 16.166666666666668}, {""x"": 2014, ""y"": 14.083333333333334}, {""x"": 2015, ""y"": 13.833333333333334}, {""x"": 2016, ""y"": 29.333333333333332}, {""x"": 2017, ""y"": 18.916666666666668}, {""x"": 2018, ""y"": 18.25}, {""x"": 2019, ""y"": 16.833333333333332}, {""x"": 2020, ""y"": 18.916666666666668}, {""x"": 2021, ""y"": 8.833333333333334}, {""x"": 2022, ""y"": 7.666666666666667}, {""x"": 2023, ""y"": 8.666666666666666}, {""x"": 2024, ""y"": 12.75}, {""x"": 2025, ""y"": 16.5}]"
"Jim Carrey","[{""x"": 2004, ""y"": 37.0}, {""x"": 2005, ""y"": 32.583333333333336}, {""x"": 2006, ""y"": 29.333333333333332}, {""x"": 2007, ""y"": 26.333333333333332}, {""x"": 2008, ""y"": 27.333333333333332}, {""x"": 2009, ""y"": 41.75}, {""x"": 2010, ""y"": 45.583333333333336}, {""x"": 2011, ""y"": 56.75}, {""x"": 2012, ""y"": 52.5}, {""x"": 2013, ""y"": 58.25}, {""x"": 2014, ""y"": 56.083333333333336}, {""x"": 2015, ""y"": 54.0}, {""x"": 2016, ""y"": 47.583333333333336}, {""x"": 2017, ""y"": 56.25}, {""x"": 2018, ""y"": 53.583333333333336}, {""x"": 2019, ""y"": 46.75}, {""x"": 2020, ""y"": 55.5}, {""x"": 2021, ""y"": 41.25}, {""x"": 2022, ""y"": 54.333333333333336}, {""x"": 2023, ""y"": 43.25}, {""x"": 2024, ""y"": 45.25}, {""x"": 2025, ""y"": 44.5}]"
"Kim Kardashian","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.16666666666666666}, {""x"": 2007, ""y"": 8.583333333333334}, {""x"": 2008, ""y"": 12.5}, {""x"": 2009, ""y"": 13.833333333333334}, {""x"": 2010, ""y"": 22.583333333333332}, {""x"": 2011, ""y"": 30.416666666666668}, {""x"": 2012, ""y"": 25.916666666666668}, {""x"": 2013, ""y"": 32.583333333333336}, {""x"": 2014, ""y"": 35.333333333333336}, {""x"": 2015, ""y"": 29.583333333333332}, {""x"": 2016, ""y"": 24.416666666666668}, {""x"": 2017, ""y"": 14.5}, {""x"": 2018, ""y"": 13.666666666666666}, {""x"": 2019, ""y"": 9.416666666666666}, {""x"": 2020, ""y"": 8.166666666666666}, {""x"": 2021, ""y"": 9.083333333333334}, {""x"": 2022, ""y"": 9.5}, {""x"": 2023, ""y"": 5.5}, {""x"": 2024, ""y"": 4.75}, {""x"": 2025, ""y"": 4.0}]"
"Tom Cruise","[{""x"": 2004, ""y"": 15.416666666666666}, {""x"": 2005, ""y"": 30.75}, {""x"": 2006, ""y"": 25.666666666666668}, {""x"": 2007, ""y"": 11.75}, {""x"": 2008, ""y"": 14.416666666666666}, {""x"": 2009, ""y"": 11.916666666666666}, {""x"": 2010, ""y"": 13.083333333333334}, {""x"": 2011, ""y"": 12.5}, {""x"": 2012, ""y"": 21.333333333333332}, {""x"": 2013, ""y"": 17.833333333333332}, {""x"": 2014, ""y"": 16.25}, {""x"": 2015, ""y"": 18.083333333333332}, {""x"": 2016, ""y"": 13.583333333333334}, {""x"": 2017, ""y"": 15.583333333333334}, {""x"": 2018, ""y"": 15.916666666666666}, {""x"": 2019, ""y"": 13.666666666666666}, {""x"": 2020, ""y"": 15.583333333333334}, {""x"": 2021, ""y"": 13.666666666666666}, {""x"": 2022, ""y"": 24.333333333333332}, {""x"": 2023, ""y"": 18.416666666666668}, {""x"": 2024, ""y"": 14.833333333333334}, {""x"": 2025, ""y"": 13.75}]"
"Will Smith","[{""x"": 2004, ""y"": 2.75}, {""x"": 2005, ""y"": 5.5}, {""x"": 2006, ""y"": 2.6666666666666665}, {""x"": 2007, ""y"": 3.8333333333333335}, {""x"": 2008, ""y"": 5.5}, {""x"": 2009, ""y"": 4.416666666666667}, {""x"": 2010, ""y"": 4.583333333333333}, {""x"": 2011, ""y"": 5.75}, {""x"": 2012, ""y"": 5.583333333333333}, {""x"": 2013, ""y"": 6.5}, {""x"": 2014, ""y"": 6.0}, {""x"": 2015, ""y"": 5.916666666666667}, {""x"": 2016, ""y"": 6.833333333333333}, {""x"": 2017, ""y"": 5.0}, {""x"": 2018, ""y"": 5.25}, {""x"": 2019, ""y"": 5.916666666666667}, {""x"": 2020, ""y"": 7.833333333333333}, {""x"": 2021, ""y"": 4.833333333333333}, {""x"": 2022, ""y"": 15.25}, {""x"": 2023, ""y"": 4.5}, {""x"": 2024, ""y"": 4.416666666666667}, {""x"": 2025, ""y"": 4.25}]"
"Taylor Swift","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.8333333333333334}, {""x"": 2007, ""y"": 4.083333333333333}, {""x"": 2008, ""y"": 9.833333333333334}, {""x"": 2009, ""y"": 29.666666666666668}, {""x"": 2010, ""y"": 26.833333333333332}, {""x"": 2011, ""y"": 22.25}, {""x"": 2012, ""y"": 28.666666666666668}, {""x"": 2013, ""y"": 31.25}, {""x"": 2014, ""y"": 28.666666666666668}, {""x"": 2015, ""y"": 39.5}, {""x"": 2016, ""y"": 23.833333333333332}, {""x"": 2017, ""y"": 18.0}, {""x"": 2018, ""y"": 12.0}, {""x"": 2019, ""y"": 13.166666666666666}, {""x"": 2020, ""y"": 11.833333333333334}, {""x"": 2021, ""y"": 12.666666666666666}, {""x"": 2022, ""y"": 17.166666666666668}, {""x"": 2023, ""y"": 48.833333333333336}, {""x"": 2024, ""y"": 50.666666666666664}, {""x"": 2025, ""y"": 22.75}]"
"Barack Obama","[{""x"": 2004, ""y"": 1.6666666666666667}, {""x"": 2005, ""y"": 0.6666666666666666}, {""x"": 2006, ""y"": 1.5833333333333333}, {""x"": 2007, ""y"": 5.416666666666667}, {""x"": 2008, ""y"": 36.75}, {""x"": 2009, ""y"": 15.333333333333334}, {""x"": 2010, ""y"": 6.083333333333333}, {""x"": 2011, ""y"": 5.583333333333333}, {""x"": 2012, ""y"": 9.25}, {""x"": 2013, ""y"": 5.416666666666667}, {""x"": 2014, ""y"": 4.833333333333333}, {""x"": 2015, ""y"": 5.25}, {""x"": 2016, ""y"": 6.583333333333333}, {""x"": 2017, ""y"": 4.75}, {""x"": 2018, ""y"": 3.4166666666666665}, {""x"": 2019, ""y"": 3.0833333333333335}, {""x"": 2020, ""y"": 4.583333333333333}, {""x"": 2021, ""y"": 2.5}, {""x"": 2022, ""y"": 2.1666666666666665}, {""x"": 2023, ""y"": 2.1666666666666665}, {""x"": 2024, ""y"": 2.5}, {""x"": 2025, ""y"": 3.25}]"
"Ivanka Trump","[{""x"": 2004, ""y"": 1.5833333333333333}, {""x"": 2005, ""y"": 1.0}, {""x"": 2006, ""y"": 2.6666666666666665}, {""x"": 2007, ""y"": 4.583333333333333}, {""x"": 2008, ""y"": 3.25}, {""x"": 2009, ""y"": 4.833333333333333}, {""x"": 2010, ""y"": 2.9166666666666665}, {""x"": 2011, ""y"": 4.166666666666667}, {""x"": 2012, ""y"": 3.5833333333333335}, {""x"": 2013, ""y"": 2.9166666666666665}, {""x"": 2014, ""y"": 2.5}, {""x"": 2015, ""y"": 6.333333333333333}, {""x"": 2016, ""y"": 29.916666666666668}, {""x"": 2017, ""y"": 39.75}, {""x"": 2018, ""y"": 16.166666666666668}, {""x"": 2019, ""y"": 11.666666666666666}, {""x"": 2020, ""y"": 19.083333333333332}, {""x"": 2021, ""y"": 8.166666666666666}, {""x"": 2022, ""y"": 7.333333333333333}, {""x"": 2023, ""y"": 3.5833333333333335}, {""x"": 2024, ""y"": 5.75}, {""x"": 2025, ""y"": 8.75}]"
"Danny DeVito","[{""x"": 2004, ""y"": 10.75}, {""x"": 2005, ""y"": 9.25}, {""x"": 2006, ""y"": 16.666666666666668}, {""x"": 2007, ""y"": 11.416666666666666}, {""x"": 2008, ""y"": 11.25}, {""x"": 2009, ""y"": 15.083333333333334}, {""x"": 2010, ""y"": 18.333333333333332}, {""x"": 2011, ""y"": 23.166666666666668}, {""x"": 2012, ""y"": 32.333333333333336}, {""x"": 2013, ""y"": 26.0}, {""x"": 2014, ""y"": 27.666666666666668}, {""x"": 2015, ""y"": 34.083333333333336}, {""x"": 2016, ""y"": 37.5}, {""x"": 2017, ""y"": 36.75}, {""x"": 2018, ""y"": 42.5}, {""x"": 2019, ""y"": 68.66666666666667}, {""x"": 2020, ""y"": 56.166666666666664}, {""x"": 2021, ""y"": 39.75}, {""x"": 2022, ""y"": 44.333333333333336}, {""x"": 2023, ""y"": 44.5}, {""x"": 2024, ""y"": 46.333333333333336}, {""x"": 2025, ""y"": 36.75}]"
"Arnold Schwarzenegger","[{""x"": 2004, ""y"": 13.083333333333334}, {""x"": 2005, ""y"": 10.5}, {""x"": 2006, ""y"": 8.583333333333334}, {""x"": 2007, ""y"": 7.083333333333333}, {""x"": 2008, ""y"": 8.166666666666666}, {""x"": 2009, ""y"": 14.416666666666666}, {""x"": 2010, ""y"": 17.0}, {""x"": 2011, ""y"": 25.833333333333332}, {""x"": 2012, ""y"": 21.0}, {""x"": 2013, ""y"": 22.916666666666668}, {""x"": 2014, ""y"": 25.166666666666668}, {""x"": 2015, ""y"": 27.333333333333332}, {""x"": 2016, ""y"": 19.5}, {""x"": 2017, ""y"": 17.083333333333332}, {""x"": 2018, ""y"": 15.916666666666666}, {""x"": 2019, ""y"": 18.416666666666668}, {""x"": 2020, ""y"": 16.5}, {""x"": 2021, ""y"": 15.75}, {""x"": 2022, ""y"": 16.333333333333332}, {""x"": 2023, ""y"": 22.583333333333332}, {""x"": 2024, ""y"": 14.583333333333334}, {""x"": 2025, ""y"": 13.75}]"
"Donald Trump","[{""x"": 2004, ""y"": 1.8333333333333333}, {""x"": 2005, ""y"": 1.3333333333333333}, {""x"": 2006, ""y"": 1.0833333333333333}, {""x"": 2007, ""y"": 1.0833333333333333}, {""x"": 2008, ""y"": 1.0}, {""x"": 2009, ""y"": 0.6666666666666666}, {""x"": 2010, ""y"": 0.6666666666666666}, {""x"": 2011, ""y"": 1.75}, {""x"": 2012, ""y"": 1.4166666666666667}, {""x"": 2013, ""y"": 1.0}, {""x"": 2014, ""y"": 1.0}, {""x"": 2015, ""y"": 8.333333333333334}, {""x"": 2016, ""y"": 31.5}, {""x"": 2017, ""y"": 20.75}, {""x"": 2018, ""y"": 13.166666666666666}, {""x"": 2019, ""y"": 11.583333333333334}, {""x"": 2020, ""y"": 19.75}, {""x"": 2021, ""y"": 5.75}, {""x"": 2022, ""y"": 3.25}, {""x"": 2023, ""y"": 3.75}, {""x"": 2024, ""y"": 11.833333333333334}, {""x"": 2025, ""y"": 14.5}]"
"Britney Spears","[{""x"": 2004, ""y"": 37.666666666666664}, {""x"": 2005, ""y"": 24.75}, {""x"": 2006, ""y"": 26.0}, {""x"": 2007, ""y"": 28.333333333333332}, {""x"": 2008, ""y"": 19.916666666666668}, {""x"": 2009, ""y"": 16.583333333333332}, {""x"": 2010, ""y"": 9.333333333333334}, {""x"": 2011, ""y"": 13.416666666666666}, {""x"": 2012, ""y"": 7.333333333333333}, {""x"": 2013, ""y"": 7.75}, {""x"": 2014, ""y"": 5.0}, {""x"": 2015, ""y"": 4.166666666666667}, {""x"": 2016, ""y"": 4.416666666666667}, {""x"": 2017, ""y"": 3.1666666666666665}, {""x"": 2018, ""y"": 2.9166666666666665}, {""x"": 2019, ""y"": 2.5}, {""x"": 2020, ""y"": 3.1666666666666665}, {""x"": 2021, ""y"": 6.416666666666667}, {""x"": 2022, ""y"": 3.8333333333333335}, {""x"": 2023, ""y"": 3.5833333333333335}, {""x"": 2024, ""y"": 2.3333333333333335}, {""x"": 2025, ""y"": 2.0}]"
"Kamala Harris","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.0}, {""x"": 2008, ""y"": 0.0}, {""x"": 2009, ""y"": 0.0}, {""x"": 2010, ""y"": 0.16666666666666666}, {""x"": 2011, ""y"": 0.0}, {""x"": 2012, ""y"": 0.0}, {""x"": 2013, ""y"": 0.5}, {""x"": 2014, ""y"": 0.0}, {""x"": 2015, ""y"": 0.0}, {""x"": 2016, ""y"": 0.4166666666666667}, {""x"": 2017, ""y"": 0.8333333333333334}, {""x"": 2018, ""y"": 1.25}, {""x"": 2019, ""y"": 5.333333333333333}, {""x"": 2020, ""y"": 17.166666666666668}, {""x"": 2021, ""y"": 7.416666666666667}, {""x"": 2022, ""y"": 2.4166666666666665}, {""x"": 2023, ""y"": 1.9166666666666667}, {""x"": 2024, ""y"": 33.5}, {""x"": 2025, ""y"": 5.0}]"
"Elon Musk","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.0}, {""x"": 2008, ""y"": 0.0}, {""x"": 2009, ""y"": 0.0}, {""x"": 2010, ""y"": 0.08333333333333333}, {""x"": 2011, ""y"": 0.0}, {""x"": 2012, ""y"": 0.5833333333333334}, {""x"": 2013, ""y"": 1.75}, {""x"": 2014, ""y"": 2.0}, {""x"": 2015, ""y"": 3.8333333333333335}, {""x"": 2016, ""y"": 4.666666666666667}, {""x"": 2017, ""y"": 7.833333333333333}, {""x"": 2018, ""y"": 15.75}, {""x"": 2019, ""y"": 10.5}, {""x"": 2020, ""y"": 22.333333333333332}, {""x"": 2021, ""y"": 32.0}, {""x"": 2022, ""y"": 43.416666666666664}, {""x"": 2023, ""y"": 26.583333333333332}, {""x"": 2024, ""y"": 32.25}, {""x"": 2025, ""y"": 81.75}]"
"Julia Roberts","[{""x"": 2004, ""y"": 44.083333333333336}, {""x"": 2005, ""y"": 31.333333333333332}, {""x"": 2006, ""y"": 22.083333333333332}, {""x"": 2007, ""y"": 19.583333333333332}, {""x"": 2008, ""y"": 16.5}, {""x"": 2009, ""y"": 20.666666666666668}, {""x"": 2010, ""y"": 26.916666666666668}, {""x"": 2011, ""y"": 24.833333333333332}, {""x"": 2012, ""y"": 24.0}, {""x"": 2013, ""y"": 22.416666666666668}, {""x"": 2014, ""y"": 29.75}, {""x"": 2015, ""y"": 24.5}, {""x"": 2016, ""y"": 25.083333333333332}, {""x"": 2017, ""y"": 23.833333333333332}, {""x"": 2018, ""y"": 26.75}, {""x"": 2019, ""y"": 25.166666666666668}, {""x"": 2020, ""y"": 24.5}, {""x"": 2021, ""y"": 21.583333333333332}, {""x"": 2022, ""y"": 24.333333333333332}, {""x"": 2023, ""y"": 27.416666666666668}, {""x"": 2024, ""y"": 26.75}, {""x"": 2025, ""y"": 20.25}]"
"Morgan Freeman","[{""x"": 2004, ""y"": 1.1666666666666667}, {""x"": 2005, ""y"": 2.0}, {""x"": 2006, ""y"": 1.5833333333333333}, {""x"": 2007, ""y"": 1.5833333333333333}, {""x"": 2008, ""y"": 4.5}, {""x"": 2009, ""y"": 3.1666666666666665}, {""x"": 2010, ""y"": 4.0}, {""x"": 2011, ""y"": 4.0}, {""x"": 2012, ""y"": 16.75}, {""x"": 2013, ""y"": 8.083333333333334}, {""x"": 2014, ""y"": 6.25}, {""x"": 2015, ""y"": 5.666666666666667}, {""x"": 2016, ""y"": 6.0}, {""x"": 2017, ""y"": 6.166666666666667}, {""x"": 2018, ""y"": 5.916666666666667}, {""x"": 2019, ""y"": 4.166666666666667}, {""x"": 2020, ""y"": 4.75}, {""x"": 2021, ""y"": 4.0}, {""x"": 2022, ""y"": 4.583333333333333}, {""x"": 2023, ""y"": 4.5}, {""x"": 2024, ""y"": 4.583333333333333}, {""x"": 2025, ""y"": 4.25}]"
"Hillary Clinton","[{""x"": 2004, ""y"": 2.25}, {""x"": 2005, ""y"": 2.0}, {""x"": 2006, ""y"": 1.8333333333333333}, {""x"": 2007, ""y"": 5.75}, {""x"": 2008, ""y"": 10.583333333333334}, {""x"": 2009, ""y"": 1.4166666666666667}, {""x"": 2010, ""y"": 1.0833333333333333}, {""x"": 2011, ""y"": 1.4166666666666667}, {""x"": 2012, ""y"": 2.75}, {""x"": 2013, ""y"": 2.3333333333333335}, {""x"": 2014, ""y"": 2.3333333333333335}, {""x"": 2015, ""y"": 7.0}, {""x"": 2016, ""y"": 37.833333333333336}, {""x"": 2017, ""y"": 5.333333333333333}, {""x"": 2018, ""y"": 3.25}, {""x"": 2019, ""y"": 2.5}, {""x"": 2020, ""y"": 3.6666666666666665}, {""x"": 2021, ""y"": 1.1666666666666667}, {""x"": 2022, ""y"": 1.0833333333333333}, {""x"": 2023, ""y"": 1.0}, {""x"": 2024, ""y"": 1.5}, {""x"": 2025, ""y"": 1.25}]"
"Lady Gaga","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.0}, {""x"": 2008, ""y"": 3.4166666666666665}, {""x"": 2009, ""y"": 47.166666666666664}, {""x"": 2010, ""y"": 70.66666666666667}, {""x"": 2011, ""y"": 49.666666666666664}, {""x"": 2012, ""y"": 22.833333333333332}, {""x"": 2013, ""y"": 18.25}, {""x"": 2014, ""y"": 12.666666666666666}, {""x"": 2015, ""y"": 9.416666666666666}, {""x"": 2016, ""y"": 10.0}, {""x"": 2017, ""y"": 10.583333333333334}, {""x"": 2018, ""y"": 7.583333333333333}, {""x"": 2019, ""y"": 13.5}, {""x"": 2020, ""y"": 7.666666666666667}, {""x"": 2021, ""y"": 7.25}, {""x"": 2022, ""y"": 6.25}, {""x"": 2023, ""y"": 5.583333333333333}, {""x"": 2024, ""y"": 6.416666666666667}, {""x"": 2025, ""y"": 12.5}]"
"Justin Bieber","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.0}, {""x"": 2008, ""y"": 0.0}, {""x"": 2009, ""y"": 6.166666666666667}, {""x"": 2010, ""y"": 73.75}, {""x"": 2011, ""y"": 70.5}, {""x"": 2012, ""y"": 49.166666666666664}, {""x"": 2013, ""y"": 47.5}, {""x"": 2014, ""y"": 33.0}, {""x"": 2015, ""y"": 31.333333333333332}, {""x"": 2016, ""y"": 33.5}, {""x"": 2017, ""y"": 23.583333333333332}, {""x"": 2018, ""y"": 12.833333333333334}, {""x"": 2019, ""y"": 8.833333333333334}, {""x"": 2020, ""y"": 9.583333333333334}, {""x"": 2021, ""y"": 9.166666666666666}, {""x"": 2022, ""y"": 8.583333333333334}, {""x"": 2023, ""y"": 5.916666666666667}, {""x"": 2024, ""y"": 7.333333333333333}, {""x"": 2025, ""y"": 6.75}]"
"Johnny Depp","[{""x"": 2004, ""y"": 10.083333333333334}, {""x"": 2005, ""y"": 6.666666666666667}, {""x"": 2006, ""y"": 6.25}, {""x"": 2007, ""y"": 5.166666666666667}, {""x"": 2008, ""y"": 4.583333333333333}, {""x"": 2009, ""y"": 4.75}, {""x"": 2010, ""y"": 6.0}, {""x"": 2011, ""y"": 6.5}, {""x"": 2012, ""y"": 8.75}, {""x"": 2013, ""y"": 6.833333333333333}, {""x"": 2014, ""y"": 6.0}, {""x"": 2015, ""y"": 7.25}, {""x"": 2016, ""y"": 7.083333333333333}, {""x"": 2017, ""y"": 4.833333333333333}, {""x"": 2018, ""y"": 4.75}, {""x"": 2019, ""y"": 3.8333333333333335}, {""x"": 2020, ""y"": 6.583333333333333}, {""x"": 2021, ""y"": 4.333333333333333}, {""x"": 2022, ""y"": 22.583333333333332}, {""x"": 2023, ""y"": 4.416666666666667}, {""x"": 2024, ""y"": 3.3333333333333335}, {""x"": 2025, ""y"": 2.5}]"
"Sylvester Stallone","[{""x"": 2004, ""y"": 2.4166666666666665}, {""x"": 2005, ""y"": 2.75}, {""x"": 2006, ""y"": 2.6666666666666665}, {""x"": 2007, ""y"": 2.8333333333333335}, {""x"": 2008, ""y"": 2.75}, {""x"": 2009, ""y"": 2.8333333333333335}, {""x"": 2010, ""y"": 5.5}, {""x"": 2011, ""y"": 5.25}, {""x"": 2012, ""y"": 8.5}, {""x"": 2013, ""y"": 8.0}, {""x"": 2014, ""y"": 10.416666666666666}, {""x"": 2015, ""y"": 8.166666666666666}, {""x"": 2016, ""y"": 9.083333333333334}, {""x"": 2017, ""y"": 6.583333333333333}, {""x"": 2018, ""y"": 15.25}, {""x"": 2019, ""y"": 7.0}, {""x"": 2020, ""y"": 7.0}, {""x"": 2021, ""y"": 5.916666666666667}, {""x"": 2022, ""y"": 7.083333333333333}, {""x"": 2023, ""y"": 9.333333333333334}, {""x"": 2024, ""y"": 7.0}, {""x"": 2025, ""y"": 4.75}]"
"Sandra Bullock","[{""x"": 2004, ""y"": 8.083333333333334}, {""x"": 2005, ""y"": 9.666666666666666}, {""x"": 2006, ""y"": 7.083333333333333}, {""x"": 2007, ""y"": 5.75}, {""x"": 2008, ""y"": 4.333333333333333}, {""x"": 2009, ""y"": 12.666666666666666}, {""x"": 2010, ""y"": 27.833333333333332}, {""x"": 2011, ""y"": 11.916666666666666}, {""x"": 2012, ""y"": 9.333333333333334}, {""x"": 2013, ""y"": 14.0}, {""x"": 2014, ""y"": 13.0}, {""x"": 2015, ""y"": 10.916666666666666}, {""x"": 2016, ""y"": 7.333333333333333}, {""x"": 2017, ""y"": 6.833333333333333}, {""x"": 2018, ""y"": 9.916666666666666}, {""x"": 2019, ""y"": 9.666666666666666}, {""x"": 2020, ""y"": 7.833333333333333}, {""x"": 2021, ""y"": 9.083333333333334}, {""x"": 2022, ""y"": 11.416666666666666}, {""x"": 2023, ""y"": 8.75}, {""x"": 2024, ""y"": 7.0}, {""x"": 2025, ""y"": 5.5}]"
"Kanye West","[{""x"": 2004, ""y"": 11.0}, {""x"": 2005, ""y"": 16.166666666666668}, {""x"": 2006, ""y"": 8.416666666666666}, {""x"": 2007, ""y"": 15.833333333333334}, {""x"": 2008, ""y"": 18.25}, {""x"": 2009, ""y"": 25.0}, {""x"": 2010, ""y"": 20.916666666666668}, {""x"": 2011, ""y"": 20.583333333333332}, {""x"": 2012, ""y"": 21.25}, {""x"": 2013, ""y"": 22.25}, {""x"": 2014, ""y"": 14.833333333333334}, {""x"": 2015, ""y"": 19.666666666666668}, {""x"": 2016, ""y"": 28.083333333333332}, {""x"": 2017, ""y"": 9.583333333333334}, {""x"": 2018, ""y"": 14.416666666666666}, {""x"": 2019, ""y"": 9.166666666666666}, {""x"": 2020, ""y"": 13.166666666666666}, {""x"": 2021, ""y"": 12.166666666666666}, {""x"": 2022, ""y"": 16.583333333333332}, {""x"": 2023, ""y"": 11.166666666666666}, {""x"": 2024, ""y"": 10.166666666666666}, {""x"": 2025, ""y"": 23.0}]"
"Samuel L. Jackson","[{""x"": 2004, ""y"": 34.25}, {""x"": 2005, ""y"": 41.333333333333336}, {""x"": 2006, ""y"": 41.333333333333336}, {""x"": 2007, ""y"": 27.916666666666668}, {""x"": 2008, ""y"": 27.75}, {""x"": 2009, ""y"": 18.416666666666668}, {""x"": 2010, ""y"": 13.666666666666666}, {""x"": 2011, ""y"": 14.083333333333334}, {""x"": 2012, ""y"": 14.166666666666666}, {""x"": 2013, ""y"": 13.083333333333334}, {""x"": 2014, ""y"": 11.583333333333334}, {""x"": 2015, ""y"": 9.833333333333334}, {""x"": 2016, ""y"": 13.166666666666666}, {""x"": 2017, ""y"": 15.583333333333334}, {""x"": 2018, ""y"": 12.166666666666666}, {""x"": 2019, ""y"": 15.25}, {""x"": 2020, ""y"": 13.833333333333334}, {""x"": 2021, ""y"": 14.083333333333334}, {""x"": 2022, ""y"": 13.75}, {""x"": 2023, ""y"": 12.666666666666666}, {""x"": 2024, ""y"": 11.75}, {""x"": 2025, ""y"": 11.0}]"
